id,status,category,question,source,source_url,last_verified,review_note
legacy_001_when_does_the_2026_27_academic_session_commence_for_fi,active,admissions,When does the 2026-27 academic session commence for first-year B.Tech and M.Tech (Intg.) students?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_002_what_documents_should_i_carry_for_the_b_tech_admission,needs_review,admissions,What documents should I carry for the B.Tech admission process?,,,,Add an official primary source and verify this answer before activation.
legacy_003_what_facilities_or_furniture_are_provided_in_the_hoste,needs_review,hostel,What facilities or furniture are provided in the hostel room?,,,,Add an official primary source and verify this answer before activation.
legacy_004_what_is_the_bed_size_in_the_hostel_rooms,needs_review,hostel,What is the bed size in the hostel rooms?,,,,Add an official primary source and verify this answer before activation.
legacy_005_what_room_and_personal_essentials_should_a_hosteller_b,needs_review,hostel,What room and personal essentials should a hosteller bring or buy?,,,,Add an official primary source and verify this answer before activation.
legacy_006_can_notebooks_be_bought_inside_the_hostel_and_should_i,needs_review,hostel,"Can notebooks be bought inside the hostel, and should I bring them from home?",,,,Add an official primary source and verify this answer before activation.
legacy_007_what_are_the_room_sharing_options_available_for_first_,needs_review,hostel,What are the room sharing options available for first-year boys and girls?,,,,Add an official primary source and verify this answer before activation.
legacy_008_what_laundry_and_washing_options_are_available_in_the_,needs_review,hostel,What laundry and washing options are available in the hostel?,,,,Add an official primary source and verify this answer before activation.
legacy_009_is_hot_water_available_in_the_first_year_hostels,needs_review,hostel,Is hot water available in the first-year hostels?,,,,Add an official primary source and verify this answer before activation.
legacy_010_what_are_the_milk_timings_in_the_hostel,needs_review,hostel,What are the milk timings in the hostel?,,,,Add an official primary source and verify this answer before activation.
legacy_011_how_is_hostel_attendance_taken_and_registered,needs_review,hostel,How is hostel attendance taken and registered?,,,,Add an official primary source and verify this answer before activation.
legacy_012_what_are_the_roll_call_and_movement_timings_for_girls_,needs_review,hostel,What are the roll call and movement timings for girls in the hostel?,,,,Add an official primary source and verify this answer before activation.
legacy_013_what_are_the_sunday_outing_rules_for_girls_within_the_,needs_review,hostel,What are the Sunday outing rules for girls within the campus?,,,,Add an official primary source and verify this answer before activation.
legacy_014_are_boys_allowed_to_go_out_on_weekends,needs_review,hostel,Are boys allowed to go out on weekends?,,,,Add an official primary source and verify this answer before activation.
legacy_015_are_first_semester_girls_allowed_to_go_on_outings,needs_review,hostel,Are first-semester girls allowed to go on outings?,,,,Add an official primary source and verify this answer before activation.
legacy_016_how_do_i_apply_for_multiple_leaves_during_a_semester,needs_review,academics,How do I apply for multiple leaves during a semester?,,,,Add an official primary source and verify this answer before activation.
legacy_017_what_is_the_procedure_for_girls_going_home_on_holidays,needs_review,academics,What is the procedure for girls going home on holidays?,,,,Add an official primary source and verify this answer before activation.
legacy_018_what_do_the_different_id_card_colors_represent_at_sast,needs_review,hostel,What do the different ID card colors represent at SASTRA?,,,,Add an official primary source and verify this answer before activation.
